participant_id,condition_id
S1-P0001,s1_control
S1-P0002,s1_control
S1-P0003,s1_interactive_ai
S1-P0004,s1_interactive_ai
S1-P0005,s1_interactive_ai
S1-P0006,s1_control
S1-P0007,s1_control
S1-P0008,s1_interactive_ai
S1-P0009,s1_interactive_ai
S1-P0010,s1_interactive_ai
S1-P0011,s1_control
S1-P0012,s1_control
S1-P0013,s1_control
S1-P0014,s1_control
S1-P0015,s1_interactive_ai
S1-P0016,s1_interactive_ai
S1-P0017,s1_control
S1-P0018,s1_control
S1-P0019,s1_interactive_ai
S1-P0020,s1_interactive_ai
S1-P0021,s1_control
S1-P0022,s1_interactive_ai
S1-P0023,s1_interactive_ai
S1-P0024,s1_control
S1-P0025,s1_control
S1-P0026,s1_interactive_ai
S1-P0027,s1_interactive_ai
S1-P0028,s1_control
S1-P0029,s1_interactive_ai
S1-P0030,s1_control
S1-P0031,s1_interactive_ai
S1-P0032,s1_control
S1-P0033,s1_interactive_ai
S1-P0034,s1_interactive_ai
S1-P0035,s1_control
S1-P0036,s1_control
S1-P0037,s1_control
S1-P0038,s1_interactive_ai
S1-P0039,s1_interactive_ai
S1-P0040,s1_control
S1-P0041,s1_control
S1-P0042,s1_interactive_ai
S1-P0043,s1_interactive_ai
S1-P0044,s1_control
S1-P0045,s1_control
S1-P0046,s1_interactive_ai
S1-P0047,s1_interactive_ai
S1-P0048,s1_control
S1-P0049,s1_interactive_ai
S1-P0050,s1_control
S1-P0051,s1_interactive_ai
S1-P0052,s1_control
S1-P0053,s1_control
S1-P0054,s1_control
S1-P0055,s1_interactive_ai
S1-P0056,s1_interactive_ai
S1-P0057,s1_control
S1-P0058,s1_control
S1-P0059,s1_interactive_ai
S1-P0060,s1_interactive_ai
S1-P0061,s1_interactive_ai
S1-P0062,s1_interactive_ai
S1-P0063,s1_control
S1-P0064,s1_control
S1-P0065,s1_interactive_ai
S1-P0066,s1_interactive_ai
S1-P0067,s1_control
S1-P0068,s1_control
S1-P0069,s1_interactive_ai
S1-P0070,s1_control
S1-P0071,s1_control
S1-P0072,s1_interactive_ai
S1-P0073,s1_control
S1-P0074,s1_control
S1-P0075,s1_interactive_ai
S1-P0076,s1_interactive_ai
S1-P0077,s1_control
S1-P0078,s1_interactive_ai
S1-P0079,s1_interactive_ai
S1-P0080,s1_control
S1-P0081,s1_interactive_ai
S1-P0082,s1_control
S1-P0083,s1_interactive_ai
S1-P0084,s1_control
S1-P0085,s1_interactive_ai
S1-P0086,s1_interactive_ai
S1-P0087,s1_control
S1-P0088,s1_control
S1-P0089,s1_interactive_ai
S1-P0090,s1_interactive_ai
S1-P0091,s1_control
S1-P0092,s1_control
S1-P0093,s1_interactive_ai
S1-P0094,s1_interactive_ai
S1-P0095,s1_control
S1-P0096,s1_control
S1-P0097,s1_control
S1-P0098,s1_interactive_ai
S1-P0099,s1_interactive_ai
S1-P0100,s1_control
S1-P0101,s1_control
S1-P0102,s1_interactive_ai
S1-P0103,s1_interactive_ai
S1-P0104,s1_control
S1-P0105,s1_control
S1-P0106,s1_interactive_ai
S1-P0107,s1_control
S1-P0108,s1_interactive_ai
S1-P0109,s1_control
S1-P0110,s1_interactive_ai
S1-P0111,s1_interactive_ai
S1-P0112,s1_control
S1-P0113,s1_interactive_ai
S1-P0114,s1_interactive_ai
S1-P0115,s1_control
S1-P0116,s1_control
S1-P0117,s1_interactive_ai
S1-P0118,s1_interactive_ai
S1-P0119,s1_control
S1-P0120,s1_control
S1-P0121,s1_interactive_ai
S1-P0122,s1_interactive_ai
S1-P0123,s1_control
S1-P0124,s1_control
S1-P0125,s1_interactive_ai
S1-P0126,s1_control
S1-P0127,s1_interactive_ai
S1-P0128,s1_control
S1-P0129,s1_control
S1-P0130,s1_control
S1-P0131,s1_interactive_ai
S1-P0132,s1_interactive_ai
S1-P0133,s1_control
S1-P0134,s1_interactive_ai
S1-P0135,s1_interactive_ai
S1-P0136,s1_control
